"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"133",518633,"Danny Duffy","943","14.1","0.467","0.533","0.417","1.000","0.615","0.596","0.459","7","15","92.4","14.2","2119","92.1","93.32","10","53","80","1.2","6.86","107","154","118","145","304","332","297"
"133",571948,"Hoby Milner","247","53.8","0.188","0.281","0.143","0.469","0.322","0.371","0.264","6","32","90.3","23.1","1981","87.9","87.83","12","63","69","-0.1","6.29","117","151","114","150","306","321","299"
"132",607481,"Aaron Bummer","155","85.2","0.182","0.000","0.250","0.182","0.257","0.292","0.202","4","22","94.3","-13.7","2021","95.7","95.44","10","43","89","-0.3","6.38","106","148","107","146","294","315","292"
"132",456501,"Johnny Cueto","1145","11.5","0.300","0.067","0.290","0.367","0.291","0.323","0.291","9","30","82.9","0.2","2145","90.9","90.07","4","59","70","-0.8","5.74","105","152","113","145","298","319","290"
"131",622072,"Alex Wood","282","46.5","0.292","0.083","0.350","0.375","0.342","0.334","0.280","7","24","85.5","16.8","2212","91.2","91.39","15","64","66","0.2","6.37","109","159","113","147","304","324","297"
"131",545064,"Jairo Diaz","364","36.0","0.313","0.219","0.286","0.531","0.392","0.430","0.359","10","32","91.6","10.3","2105","95.0","94.72","11","61","68","-0.3","5.98","114","152","120","147","303","326","303"
"131",641302,"Tyler Alexander","599","21.9","0.370","0.259","0.421","0.630","0.434","0.378","0.297","10","27","91.2","14.6","2146","90.6","90.82","5","57","73","0.2","6.32","105","152","119","145","298","328","289"
"130",607536,"Kyle Freeland","1124","11.6","0.289","0.289","0.258","0.579","0.387","0.445","0.349","11","38","90.4","9.9","2414","91.7","92.33","7","52","76","0.6","6.57","112","152","115","146","301","329","304"
"130",467100,"Ivan Nova","284","45.8","0.366","0.195","0.342","0.561","0.426","0.453","0.364","15","41","89.0","1.5","2150","92.1","91.67","6","68","62","-0.4","6.03","106","148","110","146","294","326","279"
"128",656849,"David Peterson","812","15.8","0.368","0.105","0.412","0.474","0.415","0.466","0.427","7","19","91.9","9.7","2082","91.8","93.26","7","40","88","1.5","7.13","110","149","115","144","298","319","292"
"127",445276,"Kenley Jansen","446","28.5","0.267","0.067","0.500","0.333","0.295","0.224","0.189","8","30","77.9","23.7","2224","92.3","92.07","24","67","60","-0.2","7.39","112","161","119","149","298","320","293"
"125",607229,"Robert Gsellman","278","45.0","0.292","0.375","0.263","0.667","0.425","0.418","0.301","7","24","88.3","15.2","2174","93.4","93.48","11","61","60","0.1","6.32","112","148","115","144","296","316","292"
"122",594987,"Casey Sadler","348","35.1","0.227","0.273","0.222","0.500","0.377","0.376","0.278","5","22","88.1","6.5","2418","92.9","92.65","13","53","69","-0.2","6.14","111","151","109","146","292","323","293"
"121",445926,"Jesse Chavez","305","39.7","0.259","0.370","0.190","0.630","0.391","0.421","0.339","7","27","85.5","7.4","2146","91.1","90.81","4","43","78","-0.3","6.11","108","153","114","149","298","317","288"
"121",424144,"Oliver Perez","281","43.1","0.194","0.056","0.250","0.250","0.222","0.261","0.228","7","36","87.3","6.3","2092","90.0","90.14","9","53","67","0.1","6.33","106","146","113","146","292","316","288"
"120",547943,"Hyun Jin Ryu","1132","10.6","0.421","0.158","0.444","0.579","0.468","0.444","0.409","8","19","86.1","1.8","1952","89.2","89.77","2","41","76","0.6","6.67","101","151","112","145","300","314","285"
"119",607391,"Chris Mazza","538","22.1","0.419","0.194","0.462","0.613","0.475","0.453","0.367","13","31","87.8","14.4","1811","91.8","92.63","8","54","64","0.8","6.84","109","149","113","147","294","324","290"
"118",605501,"Stephen Tarpley","181","65.2","0.333","0.292","0.286","0.625","0.462","0.390","0.264","8","24","84.4","-5.3","2122","91.0","90.90","5","48","67","-0.1","6.21","100","148","109","146","296","317","292"
"117",572193,"Ryan Tepera","369","31.7","0.348","0.043","0.400","0.391","0.405","0.399","0.323","8","23","93.2","10.4","2278","94.0","93.59","7","48","69","-0.4","6.46","114","154","110","149","293","327","295"
"114",664045,"Thomas Eshelman","529","21.6","0.263","0.368","0.176","0.632","0.357","0.396","0.341","5","19","87.4","19.9","1780","86.6","86.82","5","44","70","0.2","6.48","106","153","118","148","303","321","292"
"114",455119,"Chris Martin","282","40.4","0.111","0.111","0.105","0.222","0.136","0.310","0.251","3","27","92.1","14.9","2171","94.1","94.21","18","64","50","0.1","6.46","112","151","115","153","304","329","301"
"114",533167,"Matt Shoemaker","446","25.6","0.370","0.444","0.350","0.815","0.501","0.460","0.340","10","27","87.5","4.7","2154","91.9","92.10","6","47","66","0.2","6.39","109","155","125","145","296","323","300"
"114",592222,"Alex Claudio","331","34.4","0.267","0.133","0.292","0.400","0.317","0.283","0.233","8","30","84.3","-5.2","1902","85.9","85.09","10","52","61","-0.8","5.78","110","149","113","150","294","315","294"
"113",606131,"Luis Perdomo","276","40.9","0.278","0.278","0.308","0.556","0.447","0.398","0.257","5","18","91.9","1.9","1950","93.9","93.63","0","30","83","-0.3","6.02","114","149","130","146","306","332","313"
"112",502239,"Trevor Cahill","456","24.6","0.286","0.333","0.235","0.619","0.441","0.440","0.309","6","21","85.4","11.6","2140","90.9","90.77","5","43","68","-0.1","6.27","110","155","115","147","293","323","296"
